index, queryType, setK, GAtime, KNNtime, overallTime 
 CRISIS3,  OR_INTERSECT, false(),  4102 , 15492 
 CRISIS3,  OR_INTERSECT, false(),  3158 , 4563 
 NG3,  OR_INTERSECT, false(),  2824 , 4796 
 CRISIS3,  OR_INTERSECT, false(),  4043 , 18060 
 CRISIS3,  OR_INTERSECT, false(),  2903 , 4237 
 CRISIS3,  OR1, false(),  806 , 2126 
 CRISIS3,  OR1, false(),  510 , 1812 
 NG3,  OR_INTERSECT, false(),  3511 , 7768 
 NG3,  OR1, false(),  1395 , 4503 
 NG3,  OR1, false(),  1151 , 3774 
 NG3,  OR1, false(),  1231 , 3583 
 NG3,  OR1, false(),  1216 , 17893 
 NG3,  OR1, false(),  733 , 3692 
 NG3,  OR1, false(),  1386 , 18117 
 NG3,  OR1, false(),  705 , 3082 
 CRISIS3,  OR1, false(),  1176 , 3600 
 CRISIS3,  OR1, false(),  738 , 2448 
 CRISIS3,  OR1, false(),  1236 , 3784 
 CRISIS3,  OR1, false(),  767 , 2470 
 NG3,  OR1, false(),  486 , 2941 
 NG3,  OR1, false(),  513 , 2657 
 CRISIS4,  OR1, false(),  792 , 2424 
 CRISIS4,  OR1, false(),  746 , 2315 
 R4,  OR1, false(),  763 , 2152 
 R4,  OR1, false(),  766 , 2173 
 NG5,  OR1, false(),  1273 , 4189 
 NG5,  OR1, false(),  1177 , 3942 
 R5,  OR1, false(),  1110 , 2439 
 R5,  OR1, false(),  1080 , 2348 
 NG6,  OR1, false(),  1651 , 5118 
 NG6,  OR1, false(),  1670 , 5217 
 R6,  OR1, false(),  1526 , 3495 
 R6,  OR1, false(),  1560 , 3208 
 CRISIS3,  OR1, false(),  1177 , 3510 
 CRISIS3,  OR1, false(),  706 , 2311 
 NG3,  OR1, false(),  509 , 2897 
 NG3,  OR1, false(),  489 , 2608 
 CRISIS4,  OR1, false(),  816 , 2337 
 CRISIS4,  OR1, false(),  757 , 2255 
 R4,  OR1, false(),  748 , 2243 
 R4,  OR1, false(),  733 , 2118 
 NG5,  OR1, false(),  1151 , 3833 
 NG5,  OR1, false(),  1499 , 4189 
 R5,  OR1, false(),  1080 , 2349 
 R5,  OR1, false(),  1069 , 2335 
 NG6,  OR1, false(),  1653 , 5004 
 NG6,  OR1, false(),  1673 , 5173 
 R6,  OR1, false(),  1558 , 3540 
 R6,  OR1, false(),  1596 , 3384 
